Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP,HRB/AVG,APP-GS,AB
"34 Baker, Von",14.11,0-2,6.0,2.0,0,0-0,0,14.2,17,24,23,21,13,3,0,0,0.298,7,8,0,2,1,Cornell,"34 Baker, Von",8.892822493153696,8.23943661971831,13.309859154929578,0.6190476190476191,5.217177506846303,2.426076649923292,,,
"28 Edwards, Spencer",11.45,4-Jan,5.0,5.0,0,0-0,0,22.0,26,33,28,17,18,5,1,5,0.289,1,6,0,2,1,Cornell,"28 Edwards, Spencer",9.051593299811827,7.363636363636363,6.954545454545454,1.0588235294117647,2.398406700188172,2.5848474565814232,,,
Totals,10.41,11-Mar,57.0,14.0,0,0,1,119.1,160,172,138,101,87,30,7,17,0.323,34,38,2,11,9,Cornell,Totals,8.492933655509866,6.574307304785894,7.632241813602016,0.8613861386138614,1.9170663444901344,2.0261878122794617,,,
"33 Cushing, Kevin",12.41,0-2,6.0,2.0,0,0-0,0,12.1,16,18,17,12,6,1,1,3,0.314,4,5,1,0,2,Cornell,"33 Cushing, Kevin",11.043328837001908,4.462809917355372,8.925619834710744,0.5,1.3666711629980917,4.576582993771504,,,
"20 Ellison, Chris",9.0,0-0,8.0,0.0,0,0-0,0,13.0,23,17,13,10,8,6,0,2,0.39,2,2,0,1,1,Cornell,"20 Ellison, Chris",8.13550938372791,5.538461538461538,6.923076923076923,0.7999999999999999,0.8644906162720893,1.6687635404975065,,,
"12 Yacinich, Luke",6.75,1-Jan,5.0,5.0,0,0-0,0,28.0,27,25,21,18,24,7,0,3,0.26,4,8,0,1,2,Cornell,"12 Yacinich, Luke",7.061333559552087,7.714285714285714,5.785714285714286,1.3333333333333335,-0.31133355955208675,0.5945877163216826,,,
Opponents,4.36,3-Nov,48.0,14.0,0,0,2,127.3,119,88,62,73,192,26,7,13,0.243,19,11,1,4,3,Cornell,Opponents,4.887699848408556,13.574234092694423,5.161036920659859,2.6301369863013697,-0.527699848408556,-1.5790459948218478,,,
"18 Gottam, Santhosh",9.17,3-Jan,5.0,4.0,0,0-0,0,17.2,32,19,18,3,14,5,1,2,0.395,3,2,0,2,2,Brown,"18 Gottam, Santhosh",5.352861798754745,7.325581395348838,1.5697674418604652,4.666666666666667,3.817138201245255,-1.1138840444756593,,,
"9 Fogell, Zach",8.76,0-3,5.0,3.0,0,0-0,0,12.1,20,15,12,8,16,4,0,3,0.364,4,3,0,1,1,Brown,"9 Fogell, Zach",7.902832969233314,11.900826446280993,5.9504132231404965,2.0,0.8571670307666857,1.43608712600291,,,
Totals,5.58,11-Apr,49.0,15.0,1,0,2,122.2,133,89,76,55,116,29,5,8,0.274,27,15,1,5,8,Brown,Totals,5.268078941829383,8.543371522094926,4.050736497545008,2.109090909090909,0.31192105817061666,-1.1986669014010207,,,
Opponents,3.37,4-Nov,57.0,15.0,1,2,7,131.0,111,57,49,46,185,15,5,11,0.227,18,8,1,5,1,Brown,Opponents,4.100864639159502,12.709923664122137,3.1603053435114505,4.021739130434782,-0.7308646391595017,-2.3658812040709023,,,
"3 Olsen, Bobby",3.1,0-1,6.0,3.0,0,0-0,0,29.0,25,14,10,8,27,6,0,1,0.227,5,5,0,0,4,Brown,"3 Olsen, Bobby",4.528082328024993,8.379310344827585,2.4827586206896552,3.3749999999999996,-1.4280823280249932,-1.9386635152054108,,,
"36 Meyers, Paxton",3.37,Jan-00,7.0,0.0,0,0-0,1,10.2,4,4,4,5,14,1,1,1,0.114,2,1,1,0,0,Brown,"36 Meyers, Paxton",4.891165492325196,12.352941176470589,4.411764705882353,2.8,-1.5211654923251956,-1.5755803509052084,,,
"13 McDonough, Tobey",2.1,1-Feb,5.0,5.0,1,0-0,0,30.0,18,8,7,8,26,3,1,1,0.168,4,1,0,0,0,Brown,"13 McDonough, Tobey",4.197047845266372,7.8,2.4,3.25,-2.097047845266372,-2.269697997964032,,,
"21 Zinn, Jaren",7.32,1-Feb,5.0,5.0,0,0-0,0,19.2,19,17,16,18,31,3,1,1,0.253,10,4,0,0,1,Harvard,"21 Zinn, Jaren",5.482464511933039,14.53125,8.4375,1.7222222222222223,1.837535488066961,-0.9842813312973648,,,
"28 Matson, Sean",4.34,1-Jan,5.0,2.0,0,0-0,0,18.2,18,9,9,7,25,3,1,2,0.25,4,1,0,0,0,Harvard,"28 Matson, Sean",4.597047845266372,12.362637362637363,3.4615384615384617,3.5714285714285716,-0.2570478452663725,-1.8696979979640318,,,
Opponents,3.63,11-Jul,71.0,18.0,1,2,2,160.3,158,90,65,61,164,41,1,10,0.255,13,17,1,4,6,Harvard,Opponents,4.821626759801619,9.207735495945101,3.4248284466625076,2.6885245901639343,-1.1916267598016193,-1.645119083428785,,,
"77 Williamson, Tim",5.18,1-Feb,5.0,5.0,0,0-1,0,24.1,19,14,14,16,21,5,1,2,0.207,2,4,1,1,0,Harvard,"77 Williamson, Tim",6.42277398634521,7.842323651452282,5.975103734439834,1.3125,-1.2427739863452105,-0.043971856885193894,,,
Totals,4.75,7-Nov,64.0,18.0,0,2,6,153.1,129,104,81,114,170,24,4,15,0.226,33,24,4,8,2,Harvard,Totals,6.354069399805889,9.99346832135859,6.701502286087525,1.4912280701754386,-1.6040693998058888,-0.11267644342451533,,,
"11 Jacobsen, Will",5.11,2-Jan,5.0,2.0,0,0-0,1,12.1,11,9,7,7,4,4,0,1,0.239,0,2,1,2,0,Harvard,"11 Jacobsen, Will",7.241675944439926,2.9752066115702482,5.206611570247934,0.5714285714285715,-2.131675944439926,0.774930101209522,,,
"23 Driver, Jay",0.0,0-0,7.0,0.0,0,0-2,3,12.0,4,0,0,3,20,1,0,0,0.105,3,1,0,1,0,Harvard,"23 Driver, Jay",2.263714511933039,15.0,2.25,6.666666666666667,-2.263714511933039,-4.203031331297366,,,
"30 Narottam, Uday",1.46,Jan-00,6.0,0.0,0,0-0,1,12.1,9,4,2,5,10,1,1,0,0.205,0,1,0,0,1,Harvard,"30 Narottam, Uday",4.431758589068025,7.43801652892562,3.71900826446281,2.0,-2.971758589068025,-2.0349872541623792,,,
"34 Clark, Chris",1.54,Jan-00,7.0,0.0,0,0-0,1,11.2,7,2,2,6,17,1,0,1,0.175,1,1,0,1,0,Harvard,"34 Clark, Chris",4.597047845266372,13.660714285714286,4.821428571428572,2.833333333333333,-3.0570478452663723,-1.8696979979640318,,,
"25 Stone, Adam",3.95,2-Jan,4.0,4.0,0,0-1,0,13.2,11,15,6,20,16,3,0,0,0.22,3,3,1,0,0,Harvard,"25 Stone, Adam",7.400078148296675,10.90909090909091,13.636363636363637,0.8,-3.450078148296675,0.933332305066271,,,
"50 Smith, Tanner",5.4,Feb-00,8.0,0.0,0,0-2,0,10.0,9,9,6,10,12,1,0,3,0.231,4,0,1,0,0,Harvard,"50 Smith, Tanner",9.097047845266372,10.8,9.0,1.2000000000000002,-3.697047845266372,2.630302002035968,,,
"34 Walsh, Mike",4.45,Mar-00,5.0,5.0,0,0-0,0,28.1,22,16,14,15,33,4,0,6,0.21,1,10,0,0,0,Yale,"34 Walsh, Mike",7.693133254519042,10.569395017793594,4.804270462633451,2.2,-3.2431332545190417,1.2263874112886377,,,
Totals,5.71,6-Nov,52.0,17.0,0,1,5,149.2,152,110,95,67,150,29,4,24,0.26,10,30,2,5,6,Yale,Totals,6.627878944462083,9.048257372654156,4.041554959785523,2.238805970149254,-0.9178789444620827,0.16113310123167857,,,
"18 Kipp, Grant",8.1,2-Feb,5.0,5.0,0,0-0,0,26.2,41,28,24,10,26,6,1,4,0.357,0,7,0,1,3,Yale,"18 Kipp, Grant",6.543612730762556,8.931297709923664,3.435114503816794,2.5999999999999996,1.5563872692374439,0.07686688753215165,,,
"22 Kelley, Mick",3.92,Jan-00,8.0,0.0,0,0-1,2,20.2,22,14,9,3,17,7,1,4,0.259,0,3,0,1,1,Yale,"22 Kelley, Mick",6.379226063088154,7.574257425742575,1.3366336633663367,5.666666666666667,-2.4592260630881544,-0.08751978014224981,,,
Opponents,5.39,11-Jun,75.0,17.0,0,3,0,152.0,149,110,91,73,147,27,3,14,0.252,26,17,2,8,5,Yale,Opponents,5.636521529476899,8.703947368421053,4.322368421052632,2.0136986301369864,-0.2465215294768992,-0.8302243137535052,,,
"9 Shaw, Colton",5.74,2-Jan,5.0,5.0,0,0-0,0,26.2,23,18,17,13,21,4,0,1,0.23,3,3,0,1,0,Yale,"9 Shaw, Colton",5.322238684961029,7.213740458015267,4.465648854961832,1.6153846153846154,0.4177613150389714,-1.1445071582693753,,,
"21 Easterly, Reid",3.12,2-Jan,9.0,0.0,0,0-1,2,17.1,16,7,6,3,17,2,1,1,0.246,1,2,0,1,0,Yale,"21 Easterly, Reid",4.246170652283916,8.94736842105263,1.5789473684210524,5.666666666666666,-1.1261706522839159,-2.220575190946488,,,
"Heintz, Danny",6.1,0-1,9.0,0.0,0,0/0,0,10.1,5,8,7,9,15,0,0,0,0.156,2,2,1,2,0,Penn,"Heintz, Danny",4.89407754823667,13.366336633663368,8.01980198019802,1.6666666666666667,1.20592245176333,-1.5726682949937345,0.156,,
Opponents,6.37,13-Jul,21.0,21.0,0,1-Jan,2,178.0,228,149,126,88,167,43,3,20,0.309,20,14,1,9,8,Penn,Opponents,5.900418631783227,8.4438202247191,4.449438202247191,1.8977272727272725,0.4695813682167733,-0.5663272114471773,20.309,,
"Eaise, Kevin",4.94,1-Jan,5.0,5.0,0,0/0,0,27.1,30,15,15,9,32,2,2,2,0.286,1,3,0,1,1,Penn,"Eaise, Kevin",4.523247107258992,10.62730627306273,2.988929889298893,3.555555555555556,0.416752892741008,-1.9434987359714118,2.286,,
"Zaffiro, Cole",3.44,Feb-00,6.0,3.0,0,0/0,0,18.1,15,7,7,7,23,4,0,0,0.231,2,2,0,1,0,Penn,"Zaffiro, Cole",3.547324088360295,11.43646408839779,3.480662983425414,3.2857142857142856,-0.10732408836029483,-2.9194217548701094,0.231,,
"Coady, Owen",2.7,Mar-00,6.0,2.0,0,0/0,0,26.2,17,8,8,9,37,4,0,0,0.181,2,2,0,1,0,Penn,"Coady, Owen",3.0321623490831664,12.709923664122138,3.0916030534351147,4.111111111111112,-0.3321623490831662,-3.4345834941472377,0.181,,
Totals,4.91,13-7,21.0,21.0,0,0/0,3,177.2,154,105,97,102,213,30,4,14,0.237,18,22,4,11,6,Penn,Totals,5.319395475063212,10.818284424379232,5.18058690744921,2.088235294117647,-0.40939547506321183,-1.1473503681671922,14.237,,
"Miller, Joe",4.76,1-Feb,5.0,4.0,0,0/0,0,28.1,27,17,15,17,35,7,1,3,0.252,4,1,0,3,0,Penn,"Miller, Joe",5.415553183344664,11.209964412811388,5.444839857651245,2.058823529411765,-0.6555531833446642,-1.0511926598857402,3.252,,
"Chmielewski, Tom",9.0,3-Jan,,,0,0/0,0,23.0,41,29,23,8,18,9,0,2,0.376,2,2,0,4,3,Princeton,"Chmielewski, Tom",5.466613062657677,7.043478260869565,3.130434782608696,2.25,3.533386937342323,-1.0001327805727271,,5-May,109.0
"Rabin, Reece",13.09,0-3,,,0,0/0,0,11.0,21,21,16,7,6,6,0,3,0.396,1,3,0,0,3,Princeton,"Rabin, Reece",9.778866027084554,4.909090909090909,5.7272727272727275,0.8571428571428571,3.311133972915446,3.31212018385415,,2-May,53.0
"Jarvis, Patrick",9.53,0-0,,,0,0/0,1,11.1,11,13,12,10,12,3,0,2,0.234,2,5,0,0,0,Princeton,"Jarvis, Patrick",8.831282079500607,9.72972972972973,8.108108108108109,1.2,0.6987179204993925,2.3645362362702027,,Jun-00,47.0
Totals,7.73,16-Feb,,,0,0/0,1,149.0,194,148,128,78,103,36,3,26,0.313,13,25,3,11,13,Princeton,Totals,7.556779388890533,6.221476510067114,4.7114093959731544,1.3205128205128205,0.17322061110946763,1.0900335456601287,,18-18,620.0
"Hoefer, Eric",7.53,1-Jan,,,0,0/0,0,14.1,22,15,12,7,8,5,0,3,0.355,1,1,0,1,1,Princeton,"Hoefer, Eric",7.930381178599706,5.1063829787234045,4.468085106382979,1.1428571428571428,-0.400381178599706,1.4636353353693021,,Jun-00,62.0
Opponents,5.01,16-2,,,0,0/0,5,160.0,177,104,89,68,197,26,3,23,0.277,21,21,0,7,4,Princeton,Opponents,5.6720478452663725,11.08125,3.825,2.8970588235294117,-0.6620478452663727,-0.7946979979640316,,18-18,638.0
"Emus, Jackson",5.14,0-3,,,0,0/0,0,28.0,27,17,16,10,31,3,1,5,0.248,3,5,1,0,1,Princeton,"Emus, Jackson",6.311333559552087,9.964285714285714,3.2142857142857144,3.0999999999999996,-1.171333559552087,-0.1554122836783174,,5-May,109.0
"D'Alessio, Andrew",7.14,0-3,,,0,0/0,0,29.0,32,26,23,16,10,3,1,7,0.288,1,2,1,4,2,Princeton,"D'Alessio, Andrew",8.90739267285258,3.103448275862069,4.9655172413793105,0.625,-1.7673926728525808,2.4406468296221764,,5-May,111.0
"5 Murray, Justin",10.29,3-Jan,5.0,5.0,0,0-0,0,21.0,32,24,24,11,23,3,2,2,0.36,1,4,2,0,0,Dartmouth,"5 Murray, Justin",5.787524035742563,9.857142857142858,4.714285714285714,2.090909090909091,4.502475964257436,-0.6792218074878411,,,
"35 Cortland, Tyler",9.0,0-2,5.0,3.0,0,0-0,0,15.0,23,20,15,6,11,4,2,2,0.348,3,4,0,3,0,Dartmouth,"35 Cortland, Tyler",6.863714511933039,6.6,3.6,1.8333333333333333,2.136285488066961,0.3969686687026348,,,
"14 Sarcone, Trystan",6.75,1-Feb,4.0,4.0,0,0-0,0,18.2,23,15,14,4,16,6,1,2,0.291,3,1,0,1,1,Dartmouth,"14 Sarcone, Trystan",5.091553339771867,7.912087912087912,1.978021978021978,4.0,1.6584466602281331,-1.3751925034585373,,,
Totals,7.21,9-Sep,63.0,18.0,1,1,3,151.0,184,139,121,79,145,40,8,17,0.295,19,28,5,6,4,Dartmouth,Totals,6.265922017451803,8.642384105960264,4.708609271523179,1.8354430379746833,0.9440779825481966,-0.2008238257786008,,,
Opponents,5.55,9-Sep,72.0,18.0,0,0,3,154.0,175,117,95,62,109,35,8,13,0.282,13,20,2,9,7,Dartmouth,Opponents,5.876268624487151,6.37012987012987,3.6233766233766236,1.758064516129032,-0.32626862448715155,-0.5904772187432528,,,
"29 Metzger, Jack",4.76,0-0,7.0,0.0,0,0-0,2,17.0,15,9,9,4,17,5,0,2,0.231,1,2,0,0,1,Dartmouth,"29 Metzger, Jack",5.185283139384019,9.0,2.1176470588235294,4.25,-0.4252831393840193,-1.281462703846385,,,
"15 Skinner, Nathan",3.0,1-Feb,4.0,4.0,1,Jan-00,0,24.0,24,8,8,4,22,5,0,2,0.255,1,0,1,0,1,Dartmouth,"15 Skinner, Nathan",4.347047845266372,8.25,1.5,5.5,-1.3470478452663723,-2.119697997964032,,,
